Audio_ID,File_Name,Codec,Dataset,System_ID,Label,Trim_Status,Usage,Vocoder_Type,Task,Team,Gender,Category
VCC2TM2,DF_E_2000053,mp3m4a,vcc2018,-,1,notrim,eval,bonafide,-,-,-,-
LA_0048,DF_E_2000058,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0041,DF_E_2002672,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
TMM1,DF_E_2002753,mp3m4a,vcc2020,-,1,notrim,eval,bonafide,-,-,-,-
LA_0043,DF_E_2002772,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
VCC2SM4,DF_E_2005095,mp3m4a,vcc2018,-,1,notrim,eval,bonafide,-,-,-,-
VCC2TM1,DF_E_2005193,mp3m4a,vcc2018,-,1,notrim,eval,bonafide,-,-,-,-
LA_0013,DF_E_2006437,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0014,DF_E_2008443,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
TGF1,DF_E_2010711,mp3m4a,vcc2020,-,1,notrim,eval,bonafide,-,-,-,-
LA_0018,DF_E_2011339,mp3m4a,asvspoof,-,1,trim,hidden,bonafide,-,-,-,-
LA_0046,DF_E_2015900,mp3m4a,asvspoof,-,1,trim,hidden,bonafide,-,-,-,-
TFM1,DF_E_2016552,mp3m4a,vcc2020,-,1,notrim,eval,bonafide,-,-,-,-
LA_0001,DF_E_2018318,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0034,DF_E_2018548,mp3m4a,asvspoof,-,1,trim,hidden,bonafide,-,-,-,-
LA_0040,DF_E_2019515,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0018,DF_E_2019839,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
TEF2,DF_E_2020833,mp3m4a,vcc2020,-,1,notrim,eval,bonafide,-,-,-,-
LA_0018,DF_E_2020920,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0004,DF_E_2022708,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0009,DF_E_2023739,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0021,DF_E_2026446,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
SEF2,DF_E_2028535,mp3m4a,vcc2020,-,1,notrim,eval,bonafide,-,-,-,-
LA_0046,DF_E_2028726,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0037,DF_E_2029337,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0002,DF_E_2031469,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0010,DF_E_2032998,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0056,DF_E_2040131,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0007,DF_E_2040766,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0003,DF_E_2041543,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0032,DF_E_2042093,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
SEM1,DF_E_2042991,mp3m4a,vcc2020,-,1,notrim,eval,bonafide,-,-,-,-
LA_0012,DF_E_2043729,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
VCC2TM2,DF_E_2047675,mp3m4a,vcc2018,-,1,notrim,eval,bonafide,-,-,-,-
TEF2,DF_E_2048419,mp3m4a,vcc2020,-,1,notrim,eval,bonafide,-,-,-,-
VCC2TM1,DF_E_2048898,mp3m4a,vcc2018,-,1,notrim,eval,bonafide,-,-,-,-
LA_0001,DF_E_2049029,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0016,DF_E_2049061,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0003,DF_E_2050848,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0011,DF_E_2051687,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0018,DF_E_2051978,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
SEF2,DF_E_2052382,mp3m4a,vcc2020,-,1,notrim,eval,bonafide,-,-,-,-
LA_0036,DF_E_2055842,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0030,DF_E_2056617,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0046,DF_E_2059339,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
TFF1,DF_E_2059668,mp3m4a,vcc2020,-,1,notrim,eval,bonafide,-,-,-,-
LA_0005,DF_E_2061037,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0021,DF_E_2061999,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0065,DF_E_2063334,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0036,DF_E_2063651,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0003,DF_E_2065116,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0023,DF_E_2066788,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
VCC2SF3,DF_E_2068722,mp3m4a,vcc2018,-,1,notrim,eval,bonafide,-,-,-,-
LA_0010,DF_E_2069398,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0018,DF_E_2070304,mp3m4a,asvspoof,-,1,trim,hidden,bonafide,-,-,-,-
LA_0014,DF_E_2070495,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
TGF1,DF_E_2070562,mp3m4a,vcc2020,-,1,notrim,eval,bonafide,-,-,-,-
LA_0008,DF_E_2070653,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0041,DF_E_2071402,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0034,DF_E_2072333,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0024,DF_E_2072387,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0016,DF_E_2072986,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0028,DF_E_2074672,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0001,DF_E_2074875,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0046,DF_E_2076904,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0039,DF_E_2077131,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
VCC2SF4,DF_E_2078025,mp3m4a,vcc2018,-,1,notrim,eval,bonafide,-,-,-,-
LA_0035,DF_E_2079039,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0011,DF_E_2081221,mp3m4a,asvspoof,-,1,trim,hidden,bonafide,-,-,-,-
LA_0005,DF_E_2084467,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
VCC2SF3,DF_E_2089662,mp3m4a,vcc2018,-,1,notrim,eval,bonafide,-,-,-,-
LA_0032,DF_E_2090246,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
VCC2TM1,DF_E_2090674,mp3m4a,vcc2018,-,1,notrim,eval,bonafide,-,-,-,-
LA_0048,DF_E_2093317,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
TMM1,DF_E_2093592,mp3m4a,vcc2020,-,1,notrim,eval,bonafide,-,-,-,-
VCC2TM1,DF_E_2094941,mp3m4a,vcc2018,-,1,notrim,eval,bonafide,-,-,-,-
TEM2,DF_E_2095876,mp3m4a,vcc2020,-,1,notrim,eval,bonafide,-,-,-,-
TGM1,DF_E_2096053,mp3m4a,vcc2020,-,1,notrim,eval,bonafide,-,-,-,-
LA_0021,DF_E_2097620,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0018,DF_E_2097764,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0001,DF_E_2098278,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
SEF2,DF_E_2098589,mp3m4a,vcc2020,-,1,notrim,eval,bonafide,-,-,-,-
VCC2TM1,DF_E_2100631,mp3m4a,vcc2018,-,1,notrim,eval,bonafide,-,-,-,-
SEF2,DF_E_2101267,mp3m4a,vcc2020,-,1,notrim,eval,bonafide,-,-,-,-
VCC2SM4,DF_E_2104978,mp3m4a,vcc2018,-,1,notrim,eval,bonafide,-,-,-,-
TFF1,DF_E_2105600,mp3m4a,vcc2020,-,1,notrim,eval,bonafide,-,-,-,-
LA_0019,DF_E_2105876,mp3m4a,asvspoof,-,1,trim,hidden,bonafide,-,-,-,-
LA_0003,DF_E_2105999,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0010,DF_E_2107592,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
SEM2,DF_E_2108024,mp3m4a,vcc2020,-,1,notrim,eval,bonafide,-,-,-,-
LA_0032,DF_E_2111740,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0042,DF_E_2112565,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0002,DF_E_2113654,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
TMM1,DF_E_2115465,mp3m4a,vcc2020,-,1,notrim,eval,bonafide,-,-,-,-
LA_0032,DF_E_2115839,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0018,DF_E_2115985,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
LA_0014,DF_E_2116351,mp3m4a,asvspoof,-,1,notrim,eval,bonafide,-,-,-,-
VCC2TF2,DF_E_2116600,mp3m4a,vcc2018,-,1,notrim,eval,bonafide,-,-,-,-
VCC2SM4,DF_E_2119420,mp3m4a,vcc2018,-,1,notrim,eval,bonafide,-,-,-,-
